Frequence;Cepage;Couleur_Actuelle;Statut
28;Touriga Nacional-Cabernet Sauvignon;red;OK
27;Teroldego;red;OK
27;Piedirosso;red;OK
26;Xarel-lo;white;OK
26;Cinsault;red;OK
26;Gelber Muskateller;white;OK
26;Carignane;red;OK
25;Verdejo-Viura;white;OK
25;Palomino;white;OK
25;Brachetto;red;OK
25;Provence red blend;red;OK
23;Tempranillo-Shiraz;red;OK
23;Carricante;white;OK
23;Rosado;rose;OK
22;Prieto Picudo;red;OK
22;Norton;red;OK
22;Baga;red;OK
22;Vignoles;white;OK
22;Colombard;white;OK
22;Carmenère-Cabernet Sauvignon;red;OK
21;Merlot-Cabernet Franc;red;OK
21;Rkatsiteli;white;OK
20;Gros and Petit Manseng;white;OK
20;Cabernet;red;OK
20;Nero di Troia;red;OK
20;Passerina;white;OK
20;Raboso;red;OK
20;Garnacha-Syrah;red;OK
19;Garnacha Blanca;white;OK
19;Colombard-Sauvignon Blanc;white;OK
19;Gros Manseng;white;OK
19;Hondarrabi Zuri;white;OK
19;Pinot Meunier;red;OK
18;Alfrocheiro;red;OK
18;Cesanese d'Affile;red;OK
18;Saperavi;red;OK
18;Pallagrello;red;OK
18;Viognier-Roussanne;white;OK
18;Malbec-Syrah;red;OK
18;Encruzado;white;OK
18;Syrah-Cabernet Sauvignon;red;OK
18;Tempranillo-Merlot;red;OK
17;Albana;white;OK
17;Moscato Giallo;white;OK
17;Coda di Volpe;white;OK
17;Tokay;white;OK
17;Muskat Ottonel;white;OK
17;Touriga Nacional Blend;red;OK
17;Corvina;red;OK
17;Moscadello;white;OK
17;Auxerrois;white;OK
16;Bobal;red;OK
16;Semillon-Chardonnay;white;OK
16;Chambourcin;red;OK
16;Counoise;red;OK
16;Muscat Blanc;white;OK
16;Plavac Mali;red;OK
16;Trebbiano di Lugana;white;OK
16;Madeira Blend;red;OK
16;Macabeo;white;OK
16;Antão Vaz;white;OK
16;Syrah-Viognier;red;OK
16;Grauburgunder;white;OK
16;Kekfrankos;red;OK
15;Roter Veltliner;white;OK
15;Tinta Roriz;red;OK
15;Aragonês;red;OK
15;Merlot-Cabernet;red;OK
15;Merlot-Malbec;red;OK
15;Johannisberg Riesling;white;OK
14;Perricone;red;OK
14;Mavrodaphne;red;OK
14;Trincadeira;red;OK
14;Ugni Blanc-Colombard;white;OK
14;Sauvignon Gris;white;OK
14;Syrah-Petite Sirah;red;OK
14;Uva di Troia;red;OK
13;Monastrell-Syrah;red;OK
13;Black Muscat;red;OK
13;Malvasia Istriana;white;OK
13;Grecanico;white;OK
13;Gaglioppo;red;OK
13;Bical;white;OK
13;Negrette;red;OK
13;Cabernet Sauvignon-Sangiovese;red;OK
13;Gamay Noir;red;OK
13;Kerner;white;OK
12;Grenache-Shiraz;red;OK
12;Ruché;red;OK
12;Cabernet-Syrah;red;OK
12;Rotgipfler;white;OK
12;Chardonnay-Semillon;white;OK
12;Gewürztraminer-Riesling;white;OK
11;Sauvignon Blanc-Chardonnay;white;OK
11;Viura-Chardonnay;white;OK
11;Roussanne-Viognier;white;OK
11;Feteasca Neagra;red;OK
11;Zierfandler;white;OK
11;Monica;red;OK
11;Chardonnay-Sauvignon;white;OK
11;Aleatico;red;OK
11;Teran;red;OK
11;Vranec;red;OK
11;Traminette;white;OK
11;Tinta Fina;red;OK
10;Nuragus;white;OK
10;Alicante;red;OK
10;Cabernet Franc-Merlot;red;OK
10;Muscadel;white;OK
10;Refosco;red;OK
10;Pinot Auxerrois;white;OK
10;Viognier-Chardonnay;white;OK
10;Touriga Franca;red;OK
10;Verduzzo Friulano ;NON DÉFINI;A FAIRE
10;Carmenère-Syrah;red;OK
9;Muscat Blanc à Petit Grain;white;OK
9;Grenache-Carignan;red;OK
9;Mataro;red;OK
9;Cabernet Sauvignon-Tempranillo;red;OK
9;Aragonez;red;OK
9;Chardonnay-Pinot Blanc;white;OK
9;Portuguese Rosé;rose;OK
9;Malvasia Fina;white;OK
9;Tannat-Cabernet Franc;red;OK
9;Tempranillo Blanco;white;OK
9;Chasselas;white;OK
9;Grechetto;white;OK
9;Baco Noir;red;OK
9;Verduzzo;white;OK
8;Susumaniello;red;OK
8;Grenache Blend;red;OK
8;Dornfelder;red;OK
8;Siria;white;OK
8;Assyrtiko;white;OK
8;Savatiano;white;OK
8;Malbec-Tannat;red;OK
8;Picpoul;white;OK
8;Chenin Blanc-Viognier;white;OK
8;Shiraz-Tempranillo;red;OK
8;Trepat;red;OK
7;Ciliegiolo;red;OK
7;Mauzac;white;OK
7;Chenin Blanc-Sauvignon Blanc;white;OK
7;Roter Traminer;white;OK
7;Bovale;red;OK
7;Schiava;red;OK
7;Posip;white;OK
7;Malbec-Tempranillo;red;OK
7;Viognier-Marsanne;white;OK
7;Mission;red;OK
