Frequence;Cepage;Couleur_Actuelle;Statut
55;Muscat Canelli;NON DÉFINI;A FAIRE
55;Cabernet Sauvignon-Malbec;NON DÉFINI;A FAIRE
55;Silvaner;NON DÉFINI;A FAIRE
54;Pedro Ximénez;NON DÉFINI;A FAIRE
54;Spätburgunder;NON DÉFINI;A FAIRE
54;Verdicchio;white;OK
54;Syrah-Cabernet;NON DÉFINI;A FAIRE
52;Alsace white blend;NON DÉFINI;A FAIRE
52;Cabernet Merlot;NON DÉFINI;A FAIRE
51;Vidal Blanc;white;OK
48;Loureiro;NON DÉFINI;A FAIRE
47;Austrian white blend;NON DÉFINI;A FAIRE
47;Syrah-Grenache;NON DÉFINI;A FAIRE
47;Petit Manseng;NON DÉFINI;A FAIRE
46;Cabernet Sauvignon-Cabernet Franc;NON DÉFINI;A FAIRE
45;Sylvaner;NON DÉFINI;A FAIRE
44;Moschofilero;NON DÉFINI;A FAIRE
44;Malvasia;NON DÉFINI;A FAIRE
43;Cannonau;NON DÉFINI;A FAIRE
42;Alicante Bouschet;NON DÉFINI;A FAIRE
42;Moscatel;NON DÉFINI;A FAIRE
40;Charbono;NON DÉFINI;A FAIRE
40;Traminer;NON DÉFINI;A FAIRE
40;Chenin Blanc-Chardonnay;NON DÉFINI;A FAIRE
39;Tocai Friulano;NON DÉFINI;A FAIRE
38;Lagrein;NON DÉFINI;A FAIRE
37;Castelão;NON DÉFINI;A FAIRE
37;Marsanne-Roussanne;NON DÉFINI;A FAIRE
37;Claret;NON DÉFINI;A FAIRE
36;Tannat-Cabernet;NON DÉFINI;A FAIRE
35;Zibibbo;NON DÉFINI;A FAIRE
34;Frappato;NON DÉFINI;A FAIRE
33;Furmint;NON DÉFINI;A FAIRE
33;Pecorino;NON DÉFINI;A FAIRE
33;White Riesling;NON DÉFINI;A FAIRE
32;Roditis;NON DÉFINI;A FAIRE
32;Rosato;NON DÉFINI;A FAIRE
31;Fernão Pires;NON DÉFINI;A FAIRE
31;Catarratto;NON DÉFINI;A FAIRE
31;Graciano;NON DÉFINI;A FAIRE
30;Orange Muscat;NON DÉFINI;A FAIRE
30;Lemberger;NON DÉFINI;A FAIRE
