iter	MultiClass
161	1.066783893
162	1.063441851
163	1.06130649
164	1.058378175
165	1.055734015
166	1.053511015
167	1.050430267
168	1.048229402
169	1.047021604
170	1.043962809
171	1.040887355
172	1.038607372
173	1.036456251
174	1.034306601
175	1.032081336
176	1.02991718
177	1.027859457
178	1.025662709
179	1.02378635
180	1.021446105
181	1.019713589
182	1.017896117
183	1.015676888
184	1.013635375
185	1.010920091
186	1.009177551
187	1.006666091
188	1.004379062
189	1.002207568
190	1.000306502
191	0.9988436002
192	0.9975333229
193	0.9957741887
194	0.9939396091
195	0.9924123026
196	0.9908834115
197	0.9887271278
198	0.9874847082
199	0.9859108182
200	0.9839690685
201	0.9823462269
202	0.980894276
203	0.9795799608
204	0.9781496322
205	0.9765340192
206	0.9747191635
207	0.9727830657
208	0.9709331845
209	0.9687767853
210	0.9662724152
211	0.9638562318
212	0.9625751849
213	0.9603552306
214	0.9578329839
215	0.95602938
216	0.9547862176
217	0.9530830458
218	0.9511582709
219	0.949626004
220	0.9477867891
221	0.9461884996
222	0.9443850624
223	0.942431158
224	0.9408492558
225	0.9391721126
226	0.9371214292
227	0.9357510874
228	0.9338678079
229	0.9322575166
230	0.930284728
231	0.929209344
232	0.927260791
233	0.9258661991
234	0.924240947
235	0.9224222817
236	0.9208586234
237	0.9192201529
238	0.9179653906
239	0.916589221
240	0.9145937686
241	0.9125440313
242	0.9107463692
243	0.9091885429
244	0.9078902206
245	0.9063378992
246	0.9050022453
247	0.9028232584
248	0.901272351
249	0.8999531249
250	0.8987221194
251	0.8969295438
252	0.8956038933
253	0.8939503481
254	0.8925286854
255	0.8914635684
256	0.8903130596
257	0.8887080639
258	0.8870368091
259	0.8857567542
260	0.8847328113
261	0.883594888
262	0.8822366902
263	0.8808223619
264	0.8794431818
265	0.8783952424
266	0.8770291331
267	0.8759080539
268	0.874104833
269	0.8723795927
270	0.8713100756
271	0.8699031171
272	0.8689308773
273	0.8677991744
274	0.8659852019
275	0.8645461831
276	0.8628778439
277	0.8607895967
278	0.8591961944
279	0.857361261
280	0.8564523046
281	0.8553379313
282	0.8538405445
283	0.8523410895
284	0.851190953
285	0.8501185041
286	0.8491599079
287	0.8477689883
288	0.8468409968
289	0.8458475811
290	0.8446593416
291	0.8431524096
292	0.841866748
293	0.8405953936
294	0.8392246083
295	0.8383016411
296	0.8370657859
297	0.8359833613
298	0.8348501714
299	0.8335963071
300	0.8323000555
301	0.8312874305
302	0.8295841045
303	0.828319192
304	0.8271865681
305	0.826181878
306	0.8251996274
307	0.823652865
308	0.8226462764
309	0.821670138
310	0.8200716039
311	0.8191158601
312	0.8181351901
313	0.8171006233
314	0.8156117053
315	0.8146700144
316	0.8134781076
317	0.8124802526
318	0.8111510468
319	0.8096209525
320	0.8086907083
321	0.8074435439
322	0.8065018173
323	0.8053549886
324	0.803980238
325	0.8027098625
326	0.8010731426
327	0.7997898379
328	0.7988471273
329	0.7976816958
330	0.7963813619
331	0.7950597648
332	0.7941186402
333	0.7932412586
334	0.7917213004
335	0.7901874214
336	0.7887472814
337	0.7877799576
338	0.7868237386
339	0.7857730757
340	0.7849899907
341	0.7836664531
342	0.7825934362
343	0.7814084425
344	0.7800367398
345	0.7791329674
346	0.7779788242
347	0.7769582468
348	0.7762169428
349	0.7752215617
350	0.7742870695
351	0.7731921847
352	0.7720412162
353	0.7712265878
354	0.7703003607
355	0.7693729923
356	0.768534906
357	0.7675010142
358	0.7665291686
359	0.7655985354
360	0.7645472165
361	0.7634645502
362	0.7624163192
363	0.7615513819
364	0.7605453621
365	0.7595904932
366	0.7585335796
367	0.7572351517
368	0.7561206026
369	0.7551092043
370	0.7541683202
371	0.7530582108
372	0.7522034165
373	0.7512618656
374	0.7502424569
375	0.7489095487
376	0.7478624451
377	0.7468281151
378	0.7457841011
379	0.7446813926
380	0.7438309139
381	0.7428658955
382	0.7419818384
383	0.741004723
384	0.7401438086
385	0.7387959724
386	0.7376266143
387	0.7369154037
388	0.7361507112
389	0.7352405457
390	0.7341691419
391	0.7328203522
392	0.7322619826
393	0.7308053826
394	0.7299823826
395	0.729161614
396	0.728279281
397	0.7270149072
398	0.7261473169
399	0.7248233004
400	0.7240748032
401	0.7229177933
402	0.7217342063
403	0.7204607145
404	0.7194995156
405	0.7185338469
406	0.7178728302
407	0.7168798548
408	0.7159949178
409	0.715225979
410	0.7145850066
411	0.7136725634
412	0.7128555067
413	0.7121204446
414	0.711449584
415	0.7107298546
416	0.7095180781
417	0.7086560624
418	0.70767328
419	0.7068530559
420	0.7062309474
421	0.705167804
422	0.7041408791
423	0.7033332492
424	0.7024282455
425	0.7015789798
426	0.7007981933
427	0.6998802161
428	0.6991416473
429	0.6981888257
430	0.6972738407
431	0.6965220372
432	0.695718621
433	0.6950155327
434	0.6938119807
435	0.6932226562
436	0.6922573138
437	0.691569858
438	0.691041649
439	0.6901443058
440	0.6890146976
441	0.6881668927
442	0.6873318055
443	0.6862727107
444	0.6855347094
445	0.684613471
446	0.6838845111
447	0.6831168972
448	0.6819580633
449	0.6811518976
450	0.6806955215
451	0.680131896
452	0.6793629722
453	0.678759682
454	0.6779742146
455	0.677350388
456	0.6765126475
457	0.6760251042
458	0.6752959432
459	0.6745562451
460	0.6737226011
461	0.6725888191
462	0.6716916344
463	0.6710430085
464	0.6704273212
465	0.6698411926
466	0.6690435459
467	0.6683314742
468	0.6674113668
469	0.6667243004
470	0.6658249974
471	0.6649788112
472	0.6643358718
473	0.6632931745
474	0.6625499906
475	0.6618234276
476	0.6613328419
477	0.6606611151
478	0.6596311837
479	0.6589223974
480	0.6583573266
481	0.6575700709
482	0.657041606
483	0.6564448804
484	0.655662167
485	0.6547223803
486	0.6538260156
487	0.6528335587
488	0.6519235292
489	0.651126814
490	0.650480008
491	0.6495593655
492	0.6486899041
493	0.6480353453
494	0.6471997123
495	0.6462816198
496	0.6456039918
497	0.6447067064
498	0.6438864722
499	0.6429857798
500	0.6421386382
501	0.6413089794
502	0.6404557266
503	0.6398228807
504	0.6391992994
505	0.6383061744
506	0.6376959293
507	0.6369415964
508	0.6365108122
509	0.6358774926
510	0.6350642866
511	0.6343930588
512	0.6337634681
513	0.6330653265
514	0.6322250454
515	0.6314633119
516	0.6305454051
517	0.6299134889
518	0.6291090232
519	0.6282511491
520	0.6275880263
521	0.6269863241
522	0.6264093694
523	0.625725777
524	0.6251445193
525	0.6244976677
526	0.6237270733
527	0.6230374278
528	0.6224253036
529	0.6215743988
530	0.6207994832
531	0.6201159135
532	0.6197526735
533	0.619136465
534	0.6183478076
535	0.6175059392
536	0.6169603219
537	0.6163263113
538	0.6157569545
539	0.6153079921
540	0.6145443469
541	0.6140594564
542	0.6135873718
543	0.613136214
544	0.6127010676
545	0.6122106724
546	0.6117870586
547	0.6110286496
548	0.6103333275
549	0.6098062441
550	0.609105157
551	0.6084599985
552	0.6078175068
553	0.6071984759
554	0.6066215697
555	0.6058793457
556	0.6051793832
557	0.6046834652
558	0.6038080852
559	0.6033701232
560	0.6028383216
561	0.602330833
562	0.6018329365
563	0.601334867
564	0.6005266663
565	0.6000601422
566	0.5993024481
567	0.5986950042
568	0.5979704362
569	0.597234329
570	0.596528979
571	0.5959190651
572	0.5951492491
573	0.5946309143
574	0.5939255214
575	0.5932743787
576	0.5923640719
577	0.5917542531
578	0.5912653999
579	0.5907331642
580	0.5899359963
581	0.5893989258
582	0.5888357024
583	0.5881506036
584	0.5876172629
585	0.5871834092
586	0.5866328179
587	0.5861860814
588	0.5857579524
589	0.585216864
590	0.5846109714
591	0.58415156
592	0.5837046536
593	0.5831240561
594	0.5823514981
595	0.5818369977
596	0.5813741123
597	0.5806175974
598	0.5801637762
599	0.5794736151
600	0.5789948581
601	0.5783247509
602	0.5776800386
603	0.5773356047
604	0.5768530241
605	0.5764407429
606	0.5757395442
607	0.5752972893
608	0.5746578185
609	0.5741145978
610	0.5734781023
611	0.5729137637
612	0.5725310238
613	0.5719645581
614	0.5714380587
615	0.5710014635
616	0.5706212456
617	0.5700837658
618	0.5695682172
619	0.568944593
620	0.568580861
621	0.56799394
622	0.5675422233
623	0.5669635538
624	0.5665588671
625	0.5661243713
626	0.5655869289
627	0.5650684804
628	0.5646091439
629	0.5640035628
630	0.5633774884
631	0.562930767
632	0.5625141356
633	0.5617329488
634	0.5612285931
635	0.560862478
636	0.5605106269
637	0.55997345
638	0.5595887033
639	0.5591102811
640	0.5586630269
641	0.5582127926
642	0.5577808837
643	0.5573102442
644	0.556680269
645	0.5562909834
646	0.5558044294
647	0.5553629629
648	0.5547941723
649	0.5543537746
650	0.5538361141
651	0.5533471052
652	0.5529708722
653	0.5524900356
654	0.5518998662
655	0.5515617544
656	0.5511477329
657	0.5506251027
658	0.5501118666
659	0.5492626605
660	0.5485797869
661	0.5481186555
662	0.5477353578
663	0.5473645293
664	0.5468809817
665	0.5464306851
666	0.5459194487
667	0.545395601
668	0.5449868435
669	0.5446404004
670	0.5442786676
671	0.5440006322
672	0.5436671323
673	0.543418438
674	0.5429181506
675	0.5422867423
676	0.5417332458
677	0.5411474755
678	0.5405518532
679	0.5400831975
680	0.5396353518
681	0.5392573072
682	0.5386672986
683	0.5380761191
684	0.5375027312
685	0.537031577
686	0.5366489019
687	0.5361781988
688	0.5356854724
689	0.5353088637
690	0.5349051426
691	0.5344895823
692	0.5339590337
693	0.5334985205
694	0.5329527554
695	0.5325189441
696	0.5319397289
697	0.5314858478
698	0.5309106321
699	0.5304937254
700	0.5301509689
701	0.5295669516
702	0.5292117622
703	0.5285848363
704	0.5280739007
705	0.527480114
706	0.5269365832
707	0.5265568421
708	0.5261882076
709	0.5258498365
710	0.5254221108
711	0.5249750507
712	0.5245209218
713	0.5240561257
714	0.5236564921
715	0.5231598404
716	0.5226314717
717	0.5221166404
718	0.5215789503
719	0.5212644573
720	0.5207211154
721	0.5203243759
722	0.5197631329
723	0.5193469084
724	0.5190049059
725	0.5186052287
726	0.5180838326
727	0.5176620425
728	0.5173173272
729	0.5169404141
730	0.5165151039
731	0.515965966
732	0.515326962
733	0.5149945349
734	0.514624581
735	0.5141084959
736	0.5138512945
737	0.5132244733
738	0.5126790679
739	0.5123171189
740	0.511940037
741	0.511368895
742	0.5108482493
743	0.5105534286
744	0.5101556752
745	0.5098003221
746	0.5094429161
747	0.5089975351
748	0.5083780553
749	0.5078659734
750	0.5074085084
751	0.5070531165
752	0.5066830026
753	0.5063388992
754	0.5058072606
755	0.5054518144
756	0.5050732756
757	0.5048173866
758	0.5044820165
759	0.5041571234
760	0.5038135572
761	0.5034229764
762	0.5030034429
763	0.5027006334
764	0.5022908244
765	0.5017266358
766	0.5013781103
767	0.5010314102
768	0.5005651692
769	0.5002960509
770	0.4998362331
771	0.4995217988
772	0.4991371858
773	0.4986535326
774	0.4980613502
775	0.4976547206
776	0.497224567
777	0.4968590502
778	0.4964598968
779	0.496234569
780	0.4959171133
781	0.4954316145
782	0.4949378006
783	0.4944536202
784	0.4940987193
785	0.4937282424
786	0.4932771866
787	0.4928429698
788	0.4924244111
789	0.4920471802
790	0.4914256217
791	0.4911095374
792	0.4906666408
793	0.490350165
794	0.4899733863
795	0.4895483325
796	0.4892592518
797	0.4889571604
798	0.4885904319
799	0.4880972884
800	0.4877409557
801	0.4874289718
802	0.4870336935
803	0.4867082717
804	0.4861978177
805	0.4857430436
806	0.4853822606
807	0.4849455983
808	0.4845871479
809	0.4840742071
810	0.4836636713
811	0.4833985445
812	0.4830426442
813	0.4827899594
814	0.4822741128
815	0.4819425919
816	0.4815125488
817	0.481244494
818	0.48095655
819	0.4806200009
820	0.4802112525
821	0.4798490007
822	0.479469074
823	0.4791323234
824	0.4788423021
825	0.4785180168
826	0.478064566
827	0.4777056476
828	0.4773270712
829	0.476842193
830	0.4765074647
831	0.4761192159
832	0.4757781904
833	0.4754799629
834	0.4750236611
835	0.4747836737
836	0.4744920729
837	0.4741592352
838	0.4737929429
839	0.4734304781
840	0.4730678438
841	0.4726469819
842	0.4723209888
843	0.4719962985
844	0.4717464587
845	0.471392526
846	0.4708753586
847	0.4705282066
848	0.4701872577
849	0.4699766315
850	0.4696780955
851	0.4692529096
852	0.4688934123
853	0.4685223233
854	0.4681154577
855	0.4678076271
856	0.4675757297
857	0.4673022377
858	0.4669519848
859	0.466596182
860	0.4662383359
861	0.4659483794
862	0.4655856381
863	0.4651967845
864	0.464895778
865	0.4645177811
866	0.4641716649
867	0.4638602289
868	0.4635044007
869	0.4631023253
870	0.4626641617
871	0.46239951
872	0.4620071008
873	0.4615632221
874	0.4612694882
875	0.4608214281
876	0.4604951012
877	0.460180167
878	0.4598409804
879	0.4595856486
880	0.4592229449
881	0.4589508335
882	0.4586273548
883	0.458382232
884	0.4580336758
885	0.4577045899
886	0.4574193985
887	0.4571375264
888	0.4568690068
889	0.4566718194
890	0.4563500973
891	0.4560290005
892	0.4557115098
893	0.4553857933
894	0.4549225487
895	0.4546440995
896	0.4542794068
897	0.4539899388
898	0.4535731231
899	0.4532116277
900	0.4528601601
901	0.4525765338
902	0.4522675165
903	0.4519646665
904	0.4516234798
905	0.4513138458
906	0.4510209439
907	0.4507608525
908	0.4504808589
909	0.4502475673
910	0.4499149551
911	0.4495464911
912	0.4492790442
913	0.4489745064
914	0.4486777093
915	0.4484354645
916	0.4480865074
917	0.4477612376
918	0.4475083405
919	0.4471697078
920	0.4467789798
921	0.4464982249
922	0.4462774513
923	0.4460290097
924	0.4457020204
925	0.4454715061
926	0.4452237251
927	0.444882811
928	0.4446442477
929	0.4443345406
930	0.4440808121
931	0.4437375412
932	0.4435354649
933	0.4432670355
934	0.4430512234
935	0.4427726077
936	0.442495809
937	0.4422407509
938	0.4419463206
939	0.4417350012
940	0.4414290202
941	0.4411919877
942	0.4409598827
943	0.4406990952
944	0.4404557388
945	0.4401770961
946	0.4399000167
947	0.439511258
948	0.4392361892
949	0.4388725107
950	0.4385882447
951	0.4383204043
952	0.4380963787
953	0.4378752146
954	0.4376273535
955	0.4372857321
956	0.4370464116
957	0.4367739041
958	0.4364442443
959	0.4360445017
960	0.4356295591
961	0.4353392762
962	0.4350399183
963	0.4347067188
964	0.4344158442
965	0.4341422995
966	0.4338715562
967	0.433489487
968	0.4331731988
969	0.432804464
970	0.4324791449
971	0.4320431488
972	0.4318041417
973	0.4315093523
974	0.4312115328
975	0.4308412827
976	0.4304736739
977	0.4301274442
978	0.4299210484
979	0.4297042913
980	0.4294936204
981	0.4292023946
982	0.4289623822
983	0.4287507386
984	0.4285513775
985	0.42817805
986	0.4278941987
987	0.4276245514
988	0.4274193831
989	0.4271745154
990	0.426942436
991	0.426698931
992	0.4263342905
993	0.4260679599
994	0.4257335117
995	0.4254685846
996	0.4252249189
997	0.4249802502
998	0.4247207742
999	0.4244740034
