iter	Passed	Remaining
154	2409	13135
155	2428	13136
156	2441	13110
157	2460	13112
158	2479	13116
159	2498	13117
160	2515	13106
161	2528	13077
162	2546	13075
163	2562	13062
164	2577	13043
165	2595	13040
166	2612	13030
167	2631	13032
168	2646	13011
169	2662	13001
170	2678	12985
171	2696	12982
172	2712	12968
173	2726	12942
174	2741	12926
175	2758	12914
176	2772	12893
177	2785	12863
178	2798	12837
179	2812	12810
180	2830	12807
181	2845	12787
182	2862	12781
183	2879	12769
184	2896	12759
185	2912	12746
186	2925	12719
187	2940	12700
188	2954	12677
189	2972	12671
190	2985	12645
191	3002	12635
192	3015	12609
193	3028	12583
194	3042	12558
195	3055	12533
196	3068	12507
197	3087	12505
198	3103	12493
199	3120	12482
200	3137	12471
201	3153	12458
202	3167	12434
203	3185	12429
204	3198	12404
205	3215	12394
206	3233	12388
207	3250	12377
208	3264	12354
209	3277	12329
210	3291	12306
211	3304	12281
212	3320	12269
213	3339	12263
214	3352	12239
215	3370	12233
216	3385	12214
217	3398	12189
218	3414	12178
219	3431	12165
220	3448	12154
221	3462	12134
222	3479	12123
223	3492	12100
224	3506	12079
225	3523	12067
226	3538	12048
227	3554	12036
228	3571	12023
229	3588	12012
230	3606	12005
231	3622	11990
232	3638	11977
233	3653	11959
234	3671	11950
235	3684	11927
236	3701	11915
237	3716	11897
238	3730	11877
239	3744	11858
240	3758	11837
241	3773	11818
242	3791	11812
243	3805	11790
244	3824	11785
245	3843	11779
246	3858	11763
247	3873	11744
248	3886	11722
249	3905	11716
250	3922	11705
251	3936	11684
252	3954	11675
253	3967	11653
254	3986	11645
255	3999	11623
256	4014	11606
257	4032	11596
258	4047	11578
259	4064	11567
260	4078	11546
261	4094	11532
262	4109	11516
263	4123	11495
264	4136	11472
265	4153	11461
266	4172	11454
267	4188	11439
268	4201	11417
269	4218	11406
270	4234	11392
271	4248	11370
272	4261	11349
273	4275	11328
274	4293	11320
275	4310	11307
276	4323	11285
277	4337	11265
278	4354	11252
279	4368	11233
280	4383	11217
281	4401	11207
282	4415	11186
283	4434	11179
284	4450	11166
285	4467	11154
286	4481	11134
287	4500	11125
288	4517	11114
289	4533	11099
290	4546	11078
291	4565	11068
292	4584	11061
293	4601	11049
294	4619	11039
295	4635	11026
296	4651	11010
297	4670	11002
298	4683	10981
299	4702	10973
300	4717	10954
301	4731	10934
302	4748	10923
303	4767	10915
304	4782	10898
305	4800	10886
306	4818	10877
307	4835	10864
308	4850	10847
309	4864	10826
310	4880	10813
311	4894	10792
312	4911	10780
313	4928	10766
314	4946	10756
315	4963	10742
316	4981	10733
317	4995	10712
318	5011	10699
319	5026	10681
320	5044	10671
321	5058	10650
322	5072	10632
323	5086	10611
324	5101	10596
325	5116	10578
326	5135	10568
327	5151	10554
328	5168	10541
329	5182	10521
330	5198	10507
331	5216	10495
332	5235	10486
333	5254	10477
334	5267	10457
335	5286	10447
336	5301	10429
337	5315	10411
338	5329	10391
339	5348	10381
340	5362	10363
341	5381	10352
342	5398	10340
343	5411	10320
344	5426	10302
345	5439	10281
346	5454	10264
347	5471	10250
348	5489	10240
349	5502	10219
350	5521	10210
351	5536	10191
352	5549	10171
353	5566	10157
354	5582	10143
355	5599	10129
356	5618	10119
357	5633	10102
358	5651	10090
359	5667	10075
360	5681	10056
361	5699	10045
362	5713	10025
363	5730	10012
364	5746	9998
365	5760	9978
366	5775	9961
367	5790	9944
368	5808	9932
369	5822	9913
370	5840	9902
371	5856	9886
372	5869	9866
373	5883	9847
374	5901	9836
375	5920	9824
376	5937	9811
377	5951	9793
378	5969	9780
379	5986	9767
380	6004	9755
381	6018	9736
382	6033	9719
383	6051	9707
384	6069	9695
385	6085	9679
386	6102	9666
387	6117	9648
388	6134	9634
389	6148	9617
390	6162	9598
391	6179	9584
392	6194	9567
393	6212	9555
394	6228	9540
395	6247	9529
396	6265	9516
397	6282	9502
398	6295	9483
399	6309	9463
400	6325	9449
401	6342	9434
402	6360	9421
403	6374	9403
404	6387	9384
405	6403	9369
406	6419	9353
407	6437	9340
408	6456	9329
409	6472	9313
410	6485	9294
411	6502	9280
412	6518	9264
413	6531	9245
414	6548	9230
415	6561	9211
416	6580	9199
417	6593	9180
418	6611	9167
419	6628	9153
420	6644	9138
421	6658	9119
422	6673	9102
423	6686	9083
424	6699	9064
425	6713	9045
426	6726	9026
427	6743	9012
428	6756	8993
429	6774	8980
430	6791	8965
431	6807	8950
432	6821	8932
433	6835	8913
434	6853	8901
435	6871	8888
436	6888	8874
437	6907	8862
438	6922	8845
439	6939	8832
440	6958	8820
441	6973	8803
442	6990	8789
443	7003	8770
444	7016	8751
445	7029	8732
446	7045	8716
447	7062	8701
448	7080	8688
449	7098	8675
450	7114	8660
451	7128	8643
452	7145	8628
453	7161	8612
454	7178	8598
455	7195	8584
456	7214	8572
457	7232	8559
458	7249	8544
459	7264	8527
460	7281	8513
461	7297	8498
462	7311	8480
463	7324	8461
464	7341	8447
465	7358	8432
466	7372	8413
467	7388	8399
468	7407	8386
469	7421	8368
470	7438	8354
471	7455	8339
472	7473	8326
473	7491	8313
474	7508	8298
475	7521	8280
476	7535	8262
477	7549	8244
478	7564	8228
479	7578	8209
480	7596	8196
481	7613	8181
482	7628	8165
483	7645	8151
484	7663	8138
485	7677	8119
486	7690	8101
487	7707	8086
488	7725	8072
489	7740	8056
490	7757	8041
491	7770	8023
492	7784	8005
493	7802	7991
494	7818	7976
495	7837	7964
496	7854	7949
497	7871	7934
498	7889	7920
499	7907	7907
500	7924	7892
501	7940	7877
502	7959	7864
503	7975	7849
504	7994	7835
505	8007	7817
506	8020	7799
507	8037	7784
508	8054	7769
509	8069	7752
510	8087	7739
511	8106	7726
512	8120	7709
513	8139	7695
514	8154	7679
515	8172	7665
516	8186	7647
517	8201	7631
518	8217	7615
519	8230	7597
520	8249	7584
521	8267	7570
522	8280	7552
523	8294	7534
524	8312	7520
525	8325	7502
526	8339	7484
527	8356	7469
528	8372	7454
529	8386	7437
530	8399	7418
531	8418	7405
532	8431	7387
533	8450	7373
534	8468	7360
535	8484	7344
536	8500	7329
537	8518	7315
538	8534	7299
539	8549	7282
540	8568	7269
541	8581	7251
542	8595	7233
543	8613	7220
544	8632	7206
545	8649	7191
546	8665	7176
547	8679	7158
548	8696	7143
549	8714	7130
550	8727	7112
551	8741	7094
552	8760	7081
553	8778	7067
554	8795	7052
555	8809	7034
556	8826	7019
557	8839	7001
558	8856	6987
559	8875	6973
560	8893	6959
561	8912	6945
562	8928	6930
563	8943	6913
564	8957	6896
565	8973	6880
566	8986	6862
567	9000	6845
568	9018	6831
569	9034	6815
570	9053	6801
571	9066	6783
572	9083	6769
573	9099	6753
574	9117	6738
575	9134	6724
576	9152	6709
577	9170	6695
578	9185	6679
579	9203	6664
580	9216	6646
581	9235	6632
582	9250	6616
583	9265	6600
584	9280	6583
585	9298	6569
586	9315	6554
587	9329	6536
588	9342	6519
589	9355	6501
590	9370	6484
591	9388	6470
592	9407	6456
593	9424	6441
594	9442	6427
595	9460	6412
596	9478	6398
597	9496	6383
598	9514	6369
599	9529	6352
600	9543	6335
601	9561	6321
602	9574	6303
603	9588	6286
604	9607	6272
605	9623	6257
606	9640	6241
607	9658	6226
608	9676	6212
609	9695	6198
610	9714	6184
611	9731	6169
612	9749	6155
613	9764	6138
614	9782	6123
615	9797	6107
616	9813	6091
617	9831	6077
618	9846	6060
619	9860	6043
620	9873	6025
621	9888	6009
622	9905	5994
623	9918	5976
624	9935	5961
625	9950	5944
626	9963	5927
627	9981	5912
628	9995	5895
629	10010	5879
630	10027	5863
631	10040	5846
632	10055	5829
633	10071	5814
634	10086	5797
635	10103	5782
636	10118	5766
637	10131	5748
638	10148	5733
639	10167	5719
640	10186	5705
641	10201	5688
642	10218	5673
643	10231	5655
644	10245	5639
645	10262	5623
646	10275	5606
647	10289	5589
648	10307	5574
649	10320	5557
650	10333	5539
651	10347	5522
652	10365	5507
653	10378	5490
654	10397	5476
655	10413	5460
656	10432	5446
657	10447	5430
658	10463	5414
659	10480	5398
660	10493	5381
661	10511	5366
662	10524	5349
663	10541	5334
664	10559	5319
665	10573	5302
666	10589	5286
667	10603	5269
668	10620	5254
669	10638	5240
670	10657	5225
671	10671	5208
672	10687	5193
673	10706	5178
674	10725	5163
675	10738	5146
676	10751	5129
677	10770	5115
678	10788	5100
679	10801	5082
680	10818	5067
681	10837	5053
682	10855	5038
683	10871	5022
684	10885	5005
685	10901	4989
686	10918	4974
687	10935	4958
688	10953	4944
689	10967	4927
690	10980	4910
691	10993	4893
692	11006	4876
693	11023	4860
694	11041	4845
695	11057	4829
696	11076	4815
697	11093	4799
698	11110	4784
699	11129	4769
700	11146	4754
701	11159	4737
702	11172	4720
703	11189	4704
704	11208	4690
705	11221	4673
706	11236	4656
707	11253	4641
708	11266	4624
709	11279	4607
710	11297	4592
711	11311	4575
712	11324	4558
713	11339	4542
714	11357	4526
715	11370	4510
716	11383	4493
717	11397	4476
718	11415	4461
719	11429	4444
720	11447	4429
721	11466	4414
722	11484	4399
723	11497	4383
724	11511	4366
725	11524	4349
726	11542	4334
727	11561	4319
728	11576	4303
729	11590	4286
730	11607	4271
731	11623	4255
732	11642	4240
733	11659	4225
734	11677	4210
735	11695	4195
736	11711	4179
737	11724	4162
738	11738	4145
739	11753	4129
740	11772	4114
741	11789	4099
742	11806	4083
743	11822	4068
744	11837	4051
745	11853	4036
746	11867	4019
747	11881	4003
748	11895	3986
749	11912	3970
750	11931	3956
751	11945	3939
752	11961	3923
753	11975	3907
754	11993	3891
755	12009	3876
756	12024	3859
757	12042	3844
758	12059	3829
759	12072	3812
760	12090	3797
761	12107	3781
762	12125	3766
763	12138	3749
764	12153	3733
765	12170	3717
766	12183	3701
767	12197	3684
768	12211	3668
769	12229	3652
770	12242	3636
771	12255	3619
772	12273	3604
773	12288	3587
774	12305	3572
775	12319	3556
776	12332	3539
777	12349	3523
778	12362	3507
779	12380	3492
780	12394	3475
781	12412	3460
782	12427	3444
783	12444	3428
784	12461	3413
785	12477	3397
786	12495	3381
787	12512	3366
788	12526	3349
789	12540	3333
790	12553	3317
791	12572	3301
792	12590	3286
793	12603	3270
794	12621	3254
795	12634	3238
796	12649	3221
797	12662	3205
798	12677	3189
799	12695	3173
800	12708	3157
801	12722	3140
802	12736	3124
803	12749	3108
804	12766	3092
805	12785	3077
806	12798	3060
807	12812	3044
808	12827	3028
809	12841	3012
810	12856	2996
811	12869	2979
812	12886	2963
813	12901	2948
814	12915	2931
815	12929	2915
816	12947	2900
817	12961	2883
818	12979	2868
819	12993	2852
820	13012	2837
821	13031	2821
822	13050	2806
823	13068	2791
824	13085	2775
825	13102	2760
826	13116	2743
827	13129	2727
828	13147	2711
829	13164	2696
830	13177	2679
831	13192	2663
832	13210	2648
833	13223	2632
834	13237	2615
835	13250	2599
836	13264	2583
837	13282	2567
838	13299	2552
839	13318	2536
840	13332	2520
841	13346	2504
842	13364	2488
843	13380	2473
844	13397	2457
845	13415	2442
846	13429	2425
847	13448	2410
848	13463	2394
849	13476	2378
850	13493	2362
851	13506	2346
852	13523	2330
853	13536	2314
854	13554	2298
855	13567	2282
856	13585	2266
857	13601	2250
858	13619	2235
859	13635	2219
860	13650	2203
861	13668	2188
862	13685	2172
863	13700	2156
864	13715	2140
865	13728	2124
866	13744	2108
867	13757	2092
868	13771	2075
869	13788	2060
870	13805	2044
871	13818	2028
872	13836	2012
873	13855	1997
874	13871	1981
875	13888	1965
876	13906	1950
877	13923	1934
878	13937	1918
879	13950	1902
880	13964	1886
881	13983	1870
882	13997	1854
883	14011	1838
884	14024	1822
885	14043	1806
886	14057	1790
887	14071	1774
888	14089	1759
889	14106	1743
890	14123	1727
891	14139	1711
892	14157	1696
893	14171	1680
894	14188	1664
895	14206	1648
896	14219	1632
897	14237	1617
898	14254	1601
899	14272	1585
900	14287	1569
901	14306	1554
902	14323	1538
903	14340	1522
904	14358	1507
905	14377	1491
906	14391	1475
907	14408	1459
908	14423	1443
909	14440	1428
910	14455	1412
911	14469	1396
912	14484	1380
913	14497	1364
914	14512	1348
915	14530	1332
916	14543	1316
917	14560	1300
918	14573	1284
919	14587	1268
920	14601	1252
921	14617	1236
922	14630	1220
923	14646	1204
924	14660	1188
925	14675	1172
926	14689	1156
927	14707	1141
928	14721	1125
929	14739	1109
930	14755	1093
931	14768	1077
932	14783	1061
933	14801	1045
934	14815	1029
935	14832	1014
936	14846	998
937	14864	982
938	14882	966
939	14896	950
940	14912	935
941	14925	919
942	14939	903
943	14957	887
944	14971	871
945	14985	855
946	15003	839
947	15017	823
948	15032	807
949	15050	792
950	15064	776
951	15078	760
952	15093	744
953	15108	728
954	15125	712
955	15143	696
956	15162	681
957	15175	665
958	15189	649
959	15202	633
960	15218	617
961	15233	601
962	15247	585
963	15262	569
964	15275	554
965	15288	538
966	15305	522
967	15319	506
968	15338	490
969	15354	474
970	15373	459
971	15392	443
972	15405	427
973	15424	411
974	15442	395
975	15461	380
976	15476	364
977	15490	348
978	15504	332
979	15517	316
980	15535	300
981	15551	285
982	15568	269
983	15586	253
984	15600	237
985	15616	221
986	15631	205
987	15645	190
988	15663	174
989	15680	158
990	15693	142
991	15711	126
992	15730	110
993	15748	95
994	15766	79
995	15785	63
996	15799	47
997	15814	31
998	15827	15
999	15841	0
